"Diaz-Balart, Mario",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Curbelo, Carlos",R,House,,,,,,,,,,,,,
"Ros-Lehtinen, Ileana",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
Name,Party,House,,,,,,,,,,,,,
"Carter, Buddy",R,House,,,,,,,,,,,,,
"Bishop Jr., Sanford D.",D,House,,,,,,,,,,,,,
"Ferguson, A. Drew",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Johnson, Henry C. ",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Lewis, John",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Handel, Karen C.",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Woodall, Robert",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Scott, Austin",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Collins, Doug",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Hice, Jody",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Loudermilk, Barry",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Allen, Rick",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Scott, David",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Graves, Tom",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
Name,Party,House,,,,,,,,,,,,,
"Bordallo, Madeleine",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
Name,Party,House,,,,,,,,,,,,,
"Hanabusa, Colleen",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Gabbard, Tulsi",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
Name,Party,House,,,,,,,,,,,,,
"Labrador, Raul R.",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Simpson, Mike",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
Name,Party,House,,,,,,,,,,,,,
"Rush, Bobby L.",D,House,,,,,,,,,,,,,
"Kelly, Robin",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Lipinski, Daniel",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Gutierrez, Luis",D,House,,,,,,,,,,,,,
"Quigley, Mike",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Roskam, Peter J.",R,House,,,,,,,,,,,,,
"Davis, Danny K.",D,House,,,,,,,,,,,,,
"Krishnamoorthi, Raja",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Schakowsky, Jan",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Schneider, Bradley",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Foster, Bill",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Bost, Mike",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Davis, Rodney",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Hultgren, Randy",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Shimkus, John",R,House,,,,,,,,,,,,,
"Kinzinger, Adam",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Bustos, Cheri",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"LaHood,Darin",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
Name,Party,House,,,,,,,,,,,,,
"Visclosky, Peter",D,House,,,,,,,,,,,,,
"Walorski, Jackie",R,House,,,,,,,,,,,,,
"Banks, Jim",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Rokita, Todd",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Brooks, Susan W.",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Messer, Luke",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Carson, André",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Bucshon, Larry",R,House,,,,,,,,,,,,,
"Hollingsworth, Trey",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
Name,Party,House,,,,,,,,,,,,,
"Blum, Rod",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Loebsack, David",D,House,,,,,,,,,,,,,
"Young, David",R,House,,,,,,,,,,,,,
"King, Steve",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
Name,Party,House,,,,,,,,,,,,,
"Marshall, Roger",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
